sku,name,description,category,information,specifications,price,MSRP,MAP,unit,precision
2LM04,Credit Card Pin Pad Reader,Brighten up your reail space with this fun and sleek credit card reader--it is easy to use and perfect for any business. Its' easy-to-use ATM style interface accepts PIN-based debit card transactions and swipes traditional payment cards. It also accepts chip cards. ,Retail Supplies,"Catalog Page: 9927
Performs PIN based debit card transactions 
Accepts chip cards
Prints transaction receipts 
Connectivity: USB (not included)
Large, backlit display
Supports all magnetic stripe cards
Color: Yellow","Width: 5”
Height: 4”
Weight: .3 lb.",120,110,115,item,0
2RW93,15- Inch POS Touch Screen Monitor With Card Reader,"This 15-inch touch screen monitor is great for retail—it is easily integrated with a variety of POS systems. It gives the user full range of standard connectivity ports for retail POS and hospitality applications. The sensitive touch screen recognizes touch input from fingers, gloved fingers, stylus, and pens. The screen has a maximum resolution of 1024 x 768 and is water-resistant. It features a built-in magnetic card reader for quick and easy credit card payment",Retail Supplies,"Catalog Page: 4226
Screen size: 15 inches
Maximum resolution: 1024 X 768
Includes power chord, power adapter, VGA signal cable, USB cable","Width: 16”
Height: 14”
Weight: 6 lb.",220,210,215,item,0
2TK59,500-Lumen Portable Suspended Work Lamp,"This 500-lumen powered suspended lamp is a powerful and compact LED work light that is ideal for construction work and auto repair. It is portable and easy to transport with a hook at the top allows you to attach it to multiple surfaces. It shines bright at 500 lumens and is protected by a shatter-proof polycarbonate lens, and a stainless steel mounting bracket. It features a brightly colored plastic handle for visibility",Lighting Products,"Catalog Page: 9263
500 lumen power output 
300-watts
Comes with extension chord 
Hook to attach","Length: 7”
Width: 3”
Height: 12” 
Weight: 2 lb.",19.99,9.99,14.99,item,0
2WE71,Mobile Phone Card Reader ,This easy-to-use mobile card reader allows merchants to take their businesses anywhere using their mobile device’s headphone jack. This device is compatible with both IOS and Android. It is a safe and secure way to make payments as it encrypts card information at the moment of the swipe and doesn't store data on the device after the payment has been processed. It works with all major credit cards and allows you to swipe payments without a connection in Offline Mode,Retail Supplies,"Catalog Page: 1193
Includes card reader software
Processes all major credit cards
Ability to work in Offline Mode
Works with IOS and Android
Encrypts card information 
Plugs into standard headset jack","Width: 2”
length: 2”
Weight: .1 lb.",49.95,39.95,44.95,item,0
3ET67,"Steel Storage Shelves, 65 x 55 in.","Add these practical and spacious shelves to your office storage collection. This shelving unit features welded steel construction for added durability and support, four adjustable shelves for versatile storage options, and a 4000 pound weight capacity. The hammered granite finish and tread-plate design create a bold look in your space, and the powder coating provides a layer of protection against wear and tear. ",Office Furniture,"Catalog Page: 4236
Shipping Weight: 200 lbs.
Total Weight Capacity: 4,000 lbs.
Country of Origin: United States
Color Options: White, Black, Grey
10-year Limited Warranty
Shelves are adjustable so you can customize your storage as needed
Materials: Steel
12 shelves total","Overall Width: 65”
Overall Height: 55”
Color: Grey",259.99,249.99,254.99,set,0
3JK76,"Wooden Office Desk, 60 x 29 x 30 in.","This 5-drawer desk keeps your office space organized. The desk's large work surface is ideal for writing or working on your laptop or computer. It features a cabinet for additional storage, as well as a sliding keyboard pad. The scratch and stain-resistant melamine laminate finish protects the work surface and retains a polished look for years of productive use.",Office Furniture,"Catalog Page: 2543
Shipping Weight: 200 lbs.
Country of Origin: United States
Color Options: Light Brown, Dark Brown,
10-year Limited Warranty
Can be placed anywhere in the room because the back is finished
Solid wood is a durable natural material
5 drawers for storage
Interior cabinet for additional storage
Sliding keyboard drawer
Scratch and stain-resistant melamine laminate material","Overall Width: 60”
Overall Height: 29”
Overall Depth: 30”
Color: Light Brown
Material: Wood
Number of Drawers: 5",659.45,649.45,654.45,item,0
3JK90,Executive Chair With Headrest,"The executive chair is designed for ultimate back comfort and support. For extra softness and cushioning, this high-back chair has high-quality mesh upholstery. The chair is designed to offer lumbar support by conforming to the curve of your body. Functional and fashionable, this chair also has an adjustable headrest that supports your head and alleviates neck pain while you work.",Office Furniture,"Catalog Page: 7612
Shipping Weight: 42 lbs.
Country of Origin: United States
Color Options: Black, Grey
10-year Limited Warranty
Adjustable height
Headrest for head support
The adjustable and lockable tilt function increases stability and control in different sitting positions
The mesh material of the backrest lets air through to your back during long sitting periods
The casters are rubber coated to run smoothly on any type of floor
Frame material: Steel
Seat Material: Nylon","Overall Width: 24”
Minimum Height: 18-1/8”
Maximum height: 55”
Weight capacity: 242 lbs.",545,535,540,item,0
3LV37,Women’s 5-Pocket V-neck Fashion Scrub Top,"This fashionable women’s scrub top offers fashionable comfort at a reasonable price.It features a bold V-neck for some fashionable contrast at the neckline. The top has five pockets in total—one chest pocket, two side pockets, and two hidden pockets. It is made with high a quality poly/cotton combination and the fabric is brushed to give you a smoother feel. The top is double-stitched for durability and has a five-button closure.",Medical Apparel,"Catalog Page: 8762
23% Polyester / 77% Cotton
Center back length for size S: 25.5"".
Contrast knit at neckline
5 pockets
5-button closure",,24.99,14.99,19.99,piece,0
3RE23,Men’s 2-Pocket Lab Coat,"This lab coat is light and is designed to move with you all day. A simpler, lighter version of the Physician’s lab coat, it is available in two different lengths, has two front pockets, a three button closure, and side-hand access. The comfortable 65/35 polyester/cotton material is suitable for all day wear. Sizes include small, medium, large, extra large, 2-extra large, 3-extra large, 4-extra large, and 5-extra large.",Medical Apparel,"Catalog Page: 5492
Three-button closure
65% polyester/ 35% cotton
Two front pockets
Length options: Regular (37"") and Long (40"")",,25.99,15.99,20.99,piece,0
3TU20,400-Watt Bulb Work Light,"This 400 watt bulb light is great for both indoor and outdoor projects. This light is suitable for wet areas as well as hazardous workspaces and conditions. It resists the effects of rust and corrosion with powder coat, stainless steel hardware, and a tripod made of copper-free and corrosion resitant aluminum. It features a single LED light fixture and a versatile tripod mounting for convenient and powerful illumination for work areas. It stands at four feet tall, and is a smaller, lighter version of the 600-watt work light",Lighting Products,"Catalog Page: 6281
400-watt power bulb
Tripod is fixed at 4 ft.
Includes 5 foot power chord
Bulb type: halogen
Color: yellow
Water resistant ","Width: 9”
Length: 23”
Depth: 23”
Height: 4 ft.
Weight: 6 lb.",39.99,29.99,34.99,item,0
3UK92,General Purpose Handheld LED Spotlight,"This bright, compact and durable handheld spotlight is a great tool for guiding you through poorly-lit areas. Eight bright white LED's illuminate dark jobsite work areas, with a 450 meter range. It has a 25-hour burn life and is shock-proof to 1.5 meters. Its' over-molded lens cover increases durability and provides protection from wear and tear. Batteries for this light are sold separately. ",Lighting Products,"Catalog Page: 3387
180 lumens
450 meter range
Shock proof to 1.5 meters
Battery type: C (not included)
Burn time: 25 hours","Width: 4”
Length: 8”
Height: 7”
Weight: 1.5 lb.",59.99,49.99,54.99,item,0
3YB32,Women’s Teal Scrub Cap,This comfortable one-size-fits-all scrub cap is made to last you wear after wear. It has double-stitch construction as well as a soft cloth band on the inside as an additional layer of support and sweat protection. It also has contoured seaming with back elastic to ensure a better fit. It features an adjustable drawstring in the back ,Medical Apparel,"Catalog Page: 3981
Circumference: 23“
Soft cloth band inside
Adjustable drawstring
One size fits all",,10.99,0.99,5.99,piece,0
4HC51,Women’s Physician’s 3-Pocket Lab Coat,"This stylish and comfortable three-button lab coat features two patch pockets, a chest pocket, and a back-belt for adjustability and functionality. The comfortable 65/35 polyester/cotton material is suitable for all day wear. Sizes include small, medium, large, extra large, 2-extra large, 3-extra large, 4-extra large, and 5-extra large.",Medical Apparel,"Catalog Page: 0273
65% polyester/ 35% cotton
Two patch pockets, one chest pocket
Button back-belt
32"" long",,30.99,20.99,25.99,piece,0
4HJ92,500-Watt Portable Work Light,"This 500 watt work light is perfect for contruction/work sites or at home projects. It produces a maximum of 16,000 lumens. The light head can be adjusted on the base and features comfort grips. The work light features a heat-resistant tempered glass shade for ultimate protection This lamp is great for both indoor and outdoor work and is weather resistant. It's small, lightweight, and easy to transport",Lighting Products,"Catalog Page: 5193
500-watt power
Adjustable lamp head
Weather resistant
Bulb type: halogen","Width: 6.5”
Height: 9”
Depth: 6”
Weight: 3.5 lb.",35.99,25.99,30.99,item,0
4KL66,"4 Drawer File Cabinet, 15 x 52 x 25, Grey","Start organizing your professional or home office life with this 4-drawer, letter size vertical cabinet. With high-sided drawers that conveniently accept hanging file folders, this file cabinet offers ample space to store and organize multiple legal-size files without bending or folding. It features precision steel ball-bearings to provide smooth and quiet drawer performace and has adjustable feet for an even stance on uneven surfaces.",Office Furniture,"Catalog Page: 1901
Shipping Weight: 115.0 lbs.
Country of Origin: United States
Color Options: White, Black, Grey, Brown
10-year Limited Warranty
Four file drawers
Drawers integrated dampers close slowly, silently, and softly
Stands evenly on uneven floors with adjustable feet","File size: Letter
Overall Width: 15”
Overall Height: 52”
Overall Depth: 25”
Color: Grey
Material: Steel",395.25,385.25,390.25,item,0
4PJ19,Handheld Laser Barcode Scanner,"This lightweight laser handheld barcode scanner offers high performace scanning at a reasonable price by allowing merchants to capture barcodes quickly and effectively. It connects to any POS system via USB cable and is easy to install and use with little or no training. The color options include white, gray, and black and the material is plastic.",Retail Supplies,"Catalog Page: 3458
Material: plastic
Color: white
Color Options: white, black, grey
Includes USB cable","Width: 7”
Length: 3”
Height: 3”",200,190,195,item,0
4QI22,Women’s Basic 1-Pocket Pink Scrub Top,"The simple and light scrub top has one chest pocket and a button back-belt. It is made with high a quality poly/cotton combination and the fabric is brushed to give you a smoother feel. The top is double-stitched for durability and has a five-button closure. Sizes include extra extra small, extra small, small, medium, large, extra large, 2-extra large, 3-extra large, 4-extra large, and 5-extra large.",Medical Apparel,"Catalog Page: 2566
77% Polyester / 23% Cotton
Center back length for size S: 25.5"".
1 chest pocket
Button back-belt",,19.99,9.99,14.99,piece,0
5BM69,"Conference Table, 47 in. x 10 ft.","Make your meetings more productive with this durable wood-top conference table. Both stylish and comfortable, the laminate table top is durable, easy to clean, and great for high-volume use. The table is spacious, stain resistant, and easy to clean. The base is made with metal and the legs are adjustable, with leveling guides at the base to help maintain a level surface on uneven floors.",Office Furniture,"Catalog Page: 5599
Shipping Weight: 360 lbs.
Country of Origin: United States
Color Options: Brown, Black
10-year Limited Warranty
Adjustable legs
The veneer surface is durable, stain resistant and easy to keep clean
Storage space under table
Seats 10 to 12
Top Finish: Wood","Length: 10 ft.”
Height: 30”
Width: 47”",689,679,684,item,0
5GE27,Pricing Labeler,"This pricing labeler is easy to use and comes with one roll of white labels and spare ink. Print up to seven characters with this pricing gun. Made with strength in mind, this pricing labeler is built with quality materials and is drop-tested to ensure durability in the warehouse, stockroom, showroom, and other areas with hard floors. The erganomic design keeps your hands comfortable during use, reducing strain and allowing you to comfortably use the labeler",Retail Supplies,"Catalog Page: 1279
Number of lines: 2
Characters per line: 7
Material: plastic 
Label size: 22mm x 12mm
Color: Red","Length: 9.2”
Width: 5.6”
Height: 3” 
Weight: 1 lb.",175,165,170,item,0
5GF68,300-Watt Floodlight,"This 300-watt flood light provides bright and focused illumination. Ideal for construction sites and outdoor use, as well as in commercial applications and residential areas, pools, and other recreational areas. Its' sturdy, weather-resistant metal housing protects from rain, rust, and debris.",Lighting Products,"Catalog Page: 5934
300-watt power
Made with weather and rust-resistant metal
Bulb type: halogen 
Power type: hardwired","Width: 5”
Length: 9.5”
Height: 7”
Depth: 6”
Weight: 4.5 lb.",45.99,35.99,40.99,item,0
5GN30,Physician’s 5-Pocket Lab Coat,"This physician’s lab coat is available in 2 different lengths--regular (37"") and long (40""). It features a four-button front closure, two inside pockets, three front pockets, and side hand access. The comfortable 75/25 polyester/cotton material is suitable for all day wear. Sizes include small, medium, large, extra large, 2-extra large, 3-extra large, 4-extra large, and 5-extra large.",Medical Apparel,"Catalog Page: 3098
Four-button closure
Three front pockets, two inside pockets, side hand access
Regular (37"") and Long (40"")
75% polyester/ 25% cotton",,45.99,35.99,40.99,piece,0
5IF41,"Modern Floor Display Rack, 66 in.","Organize and decorate your office space with this sleek display rack. This piece features two adjustable shelves for increased customization, and two fixed shelves for increased stability. The rack comes with a 10-year limited warranty and is made in the United States. It is made from all recyclable materials. The color options include light brown, brown, black, and white.",Office Furniture,"Catalog Page: 4354
Shipping Weight: 100 lbs.
Country of Origin: United States
Color Options: Light Brown, Brown, Black, White 
10-year Limited Warranty
Two adjustable shelves so you can customize your storage as needed
Two fixed shelves provide increased stability
Adjustable feet for stability on uneven floors
Made with recyclable materials ","Overall Width: 30-1/2”
Overall Height: 66”
Overall Depth: 17”
Color: Light Brown
Material: Wood",689.49,679.49,684.49,item,0
5TJ23,17-inch POS Touch Screen Monitor with Card Reader,"This sleek and slim 17-inch touch screen monitor is great for retail—it is easily integrated with a variety of POS systems. The sensitive touch screen recognizes touch input from fingers, gloved fingers, stylus, and pens. It features a built-in magnetic card reader. It gives the user full range of standard connectivity ports for retail POS and hospitality applications. The screen has a maximum resolution of 1040 x 768 and is water-resistant. It features a built-in magnetic card reader for quick and easy credit card payment",Retail Supplies,"Catalog Page: 6642
Screen size: 17 inches
Maximum resolution: 1040 X 768
Includes power chord, power adapter, VGA signal cable, USB cable
Slim screen 
Features magnetic card reader","Width: 18”
Height: 16”
Weight: 4 lb.",300,290,295,set,0
5TU10,600-Watt Bulb Work Light,"This 600 watt bulb light is a heavy duty work light and is perfect for contruction/work sites or at home projects. It features a 4-7 foot adjustable tripod unit and an adjustable lamp head. It produces a maximum of 16,000 lumens. The light head can be adjusted on the base and features comfort grips. The work light features a heat-resistant tempered glass shade for ultimate protection This lamp is great for both indoor and outdoor work and is weather resistant. ",Lighting Products,"Catalog Page: 6972
600-watt power bulb
Tripod is adjustable—ranges from 4 feet to 7 feet
Includes 5 foot power chord
Bulb type: halogen
Color: yellow
Water resistant","Width: 9”
Length: 23”
Depth: 23”
Height: 4-7 ft.
Weight: 7 lb.",49.99,39.99,44.99,item,0
5UB78,Green Beige Sofa,"This cost-effective barcode label maker allows you to create almost any label size you need. It includes software that allows you to connect to and directly print from any computer or smartphone. Create labels directly from text in Microsoft Word, Excel, Outlook, QuickBooks, and other programs withrout retyping. Print your labels with ultra speed, at 94 labels per minute. The built-in auto cutter ensures a clean and precise finished edge every time.",Office Furniture,"Catalog Page: 5467
Shipping Weight: 400 lbs.
Country of Origin: United States
Color Options: Green Beige, Blue Beige
10-year Limited Warranty
Thick cushion has a core of pocket springs and a top of cut foam and polyester fibers
The wider seat angle makes the sofa feel deeper and you sit more comfortably
The core of pocket springs is durable and keeps its form and soft comfort for a longer time
The cover is easy to keep clean as it is removable and can be machine washed","Overall Width: 60”
Overall Height: 37”
Seat Depth: 22”
Seat Height: 19-1/4”
Seat Material: Polyester 
Color: Green Beige",625,615,620,item,0
5XY10,Barcode Label Maker,"Make any office feel like a home with this green beige sofa. This sofa is the ideal way to maximize space use in small areas.The high-density, thick foam cushion has a core of pocket springs and a top of cut foam and polyester fibers. The core of pocket springs is durable and keeps its form and soft comfort for a longer time. The wide seat angle provide great seating comfort for you and any guests you welcome into your office. ",Retail Supplies,"Catalog Page: 6972
Comes with software that allows you to connect to and print from any smartphone
USB Connection
Prints up to 94 labels per minute
Built-in auto cutter for precision
Media sizes supported: Die-cut and Continuous
Maximum Tape Width: 2.4""
Maximum Label Length: 3'","Width:6” 
Length: 5”
Weight: 2.5 lb.",250,240,245,item,0
6BC45,Industrial Handheld Flashlight,"This lightweight and easy-to-use flashlight is powered by premium LED lights with alkaline batteries included. It produces a broad floor beam, giving you the best beam for most indoor and short distance applications. It features three modes: low, medium, and high mode. It is powered by a premium, high-intensity LED light and gives you 850 feet of visibility. It comes with two alkaline AA batteries",Lighting Products,"Catalog Page: 5389
25 ft. shock-resistant
3 modes: low, high, strobe
Battery size: D
Number of batteries: 2
Battery type: alkaline
Batteries included: yes
Bulb Type: LED
Burn time: 2 hours
Beam Distance: 950 ft.","Length: 7.5”
Width: 3”
Height: 12”
Weight: 1.5 lb.",29.99,19.99,24.99,item,0
6GH85,"4 Drawer File Cabinet, 15 x 26 x 22","This 4-drawer file cabinet is suitable for letter-size hanging files. With high-sided drawers that conveniently accept hanging file folders, this file cabinet offers ample space to store and organize multiple legal-size files without bending or folding. It features precision ball-bearings to provide smooth and quiet drawer performace and has adjustable feet for an even stance on uneven surfaces.Made from real wood, it features four wheels for increased mobility, and a lock and key for added security",Office Furniture,"Catalog Page: 1158
Shipping Weight: 55 lbs.
Country of Origin: United States
Color Options: Light Brown, Black
10-year Limited Warranty
Drawers with integrated dampers close slowly, silently and softly
Drawers with a stop keeps them in place
Top drawer has a lock and key
Number of Drawers: 4
Material: Wood 
Four wheels for easy movement","Overall Width: 15”
Overall Height: 26”
Depth: 22”
Color: Light Brown ",325.25,315.25,320.25,item,0
6LJ54,Manager’s Desk Chair,"Provide yourself with the ultimate comfort at the office with the Manager’s Desk Chair. This chair features adjustable padded arms, black upholstery, and seat height adjustment to encourage more natural posture at your desk. For extra softness and cushioning, this chair has high-quality mesh upholstery. Enjoy built-in lumbar support with this comfortable, ergonomic, durable high-back chair. ",Office Furniture,"Catalog Page: 1802
Shipping Weight: 40.2 lbs.
Country of Origin: China
Color Options: Black, Brown
10-year Limited Warranty
Durable, easy care grain leather
Adjustable and lockable tilt function increases stability and control in different positions
Built-in lumbar support for extra back relief
Casters are locked when no one is seated, which keeps it from rolling away when you sit down
Casters are rubber coated to run smoothly on any type of floor","Overall Width: 26”
Overall Height: 46”
Overall Depth: 28”
Color: Black
Material: Leather
Seat Material: Foam
Cushion Thickness: 5-1/2”
Weight Capacity: 225 lb.",225.85,215.85,220.85,item,0
6PM40,"Round Meeting Table, 30 in. x 30in.","Add this round table to your office furniture collection. Great for meeting rooms, lunch rooms, and break rooms, it features a lightweight UV-resistant top, and a removable base and top for easy transport.The table top is made with antimicrobial additives which include antibacterial and anti-fungal properties so you can use it for years. It has a simple design, and requires no assembly or disassembly, and seats up to 4 people comfortably",Office Furniture,"Catalog Page: 5378
Shipping Weight: 30 lbs.
Country of Origin: United States
Color Options: Light Brown
10-year Limited Warranty
Chrome column and base
Lightweight UV-resistant tabletop
Removable base and top
Has antimicrobial additives which include antibacterial and anti-fungal properties
65% of the material consists of renewable bio-based resource
No tools required to assemble or disassemble ","Overall Width: 30”
Overall Height: 30”
Diameter: 30”
Shape: Round
Color: Light Brown ",250.95,240.95,245.95,item,0
6UB33,Men’s White Scrub Set,"Work in style and comfort with this all-white men’s scrub set. The fabric is all cotton, and features two pockets on the scrub top, and two large velcro pockets on the scrub pants. The relaxed-fit, straight-leg pants have a matching drawstring for a comfortable, adjustable, fit. Sizes include extra extra small, extra small, small, medium, large, extra large, 2-extra large, 3-extra large, 4-extra large, and 5-extra large.",Medical Apparel,"Catalog Page: 2146
100% cotton fabric
Straight Leg pants",,42.95,32.95,37.95,set,0
6UK81,Hardhat with 300 Lumen LED Light,"This hardhat is great for night work. It features a bright, 300 lumen detachable headlamp for optimal illumination. The light is battery operated and includes 2 AA batteries. The bright and sturdy shell is made with polyethylene, making it weather and debris-resistant. The color options include yellow, white, orange, and red, and the sizing options include 6, 7, and 8.",Lighting Products,"Catalog Page: 2459
Light is battery operated
Batteries: AA
2 batteries included
Shell material: polyethylene
300 detachable lumen light
Size options: 6, 7, 8
Color Options: Yellow, White, Red, Orange","Width: 9”
Height: 7”
Depth: 10”
Weight: 1.3 lb.",59.99,49.99,54.99,item,0
6VC22,Bluetooth Barcode Scanner,"This innovative Bluetooth barcode scanner allows easy bar code transmission to a host application via Bluetooth connection to laptops, smartphones, and other devices. The bluetooth technology offers high performace scanning at a reasonable price by allowing merchants to capture barcodes quickly and effectively. It also includes a USB cable and is easy to install and use with little or no training.",Retail Supplies,"Catalog Page: 1267
Material: plastic
Color: Black, Blue
Includes USB cable
Long battery life
Simple button design
Easy to integrate with host device","Width: 4”
Length: 6”
Weight: 7”",350,340,345,item,0
7BS71,"Modern White Table, 37 x 37 in.","Great for any waiting/reception area, this table gives any office a sleek and modern look. Legs include plastic feet to protect from floor scratching. The table is made in the United States and comes with a 10-year limited warranty and the color options include white and black. The table is made with particleboard, steel, printed fiberboard, and has a shiny coat finish.",Office Furniture,"Catalog Page: 1543
Shipping Weight: 70 lbs.
Country of Origin: United States
Color Options: White, Black
10-year Limited Warranty
Materials: particleboard, steel, printed fiberboard
Plastic feet","Length: 37-3/8”
Height: 12-1/4”
Width: 37”
Depth: 37”",199.5,189.5,194.5,item,0
7BS72,12-volt Rechargeable Search light Set,"These bright, rechargeable searchlights feature 15 LED area lights and a spotlight. Great for outdoor work, auto repair, search and rescue, and power outages. These lights are powered by 12-volt rechargeable lead acid batteries and the internal batteries are easily accessible. The total burn time for these lights is 40 hours and a shoulder strap is included with both lights",Lighting Products,"Catalog Page: 0436
12-volt rechargeable battery
Battery type: lead acid
Burn time: 40 hours
120-watt power
Internal battery easily accessible
Shoulder strap included","Length: 6”
Width: 9”
Height: 5”
Weight: 8 lb. each",200,190,195,set,0
7NM98,Men’s Slip On Clogs,"These clogs are designed to deliver all day comfort and lightness. The non-marking soles are made to reduce foot and leg fatigue. The holes on the heels and in the insole allow for additional ventilation and the rubber outsole is slip-resistant and flexible, while the insole is soft and formulated to be stain resistant. They are easily washable and hygienic, and feature holes for ventilation around the foot bed for all-day heat releaf.",Medical Apparel,"Catalog Page: 0826
Ultra light material
Anti-fungal and anti-bacterial
Slip resistant 
Removable inner sole
Made with EVA foam
Cooling ventilation holes",,19.99,9.99,14.99,set,0
7NQ22,Storage Combination with Doors,"Store and display your favorite items with this storage-display cabinet. With sixteen shelves total, and two cabinets for additional storage, keep your items dust-free but still visible with the glass door cabinets. Two of the cabinet shelves are adjustable so you can customize your storage as needed, while two of the shelves are fixed to provide increased stability. The accompanying damper allows for slow, silent, and soft opening and closing of cabinet doors",Office Furniture,"Catalog Page: 6904
Shipping Weight: 400 lbs.
Country of Origin: United States
Color Options: Light Brown
10-year Limited Warranty
Shelves are adjustable so you can customize your storage as needed
Two fixed shelves provide increased stability
The accompanying damper allows the doors to close slowly, silently and softly
Glass-door cabinets
Materials: Glass, wood, fiberboard","Overall Width: 113”
Overall Height: 84”
Depth: 14-5/8”
Color: Light Brown with Grey sides ",799.99,789.99,794.99,set,0
